Negara,Persentase Kematian NCD,Tahun
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",15.5866194311051,2012
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",15.4971448099233,2013
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",15.4562393434787,2016
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",15.4337501695654,2016
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",15.4298448267372,2016
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",15.3871647326352,2013
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",15.3849520395882,2013
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",15.3655335448876,2015
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",15.3394131466543,2014
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",15.2944825298501,2015
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",15.2886722640266,2015
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",15.2591535644148,2014
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",15.2527938026106,2014
"{'id': 'XD', 'value': 'High income'}",15.1912432869951,2010
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",15.1381430442139,2017
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",15.1168252688538,2020
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",15.092011831445,2017
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",15.068983557304,2017
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",15.0636222944035,2020
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",15.0471742505863,2020
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",14.9587463318732,2018
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",14.9179185284816,2018
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",14.9033782783309,2018
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",14.8445533031096,2019
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",14.818455532284,2019
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",14.7962681904129,2019
"{'id': 'XJ', 'value': 'Latin America & Caribbean (excluding high income)'}",14.7538184684863,2021
"{'id': 'XD', 'value': 'High income'}",14.7496012939006,2011
"{'id': 'ZJ', 'value': 'Latin America & Caribbean'}",14.730596826236,2021
"{'id': 'T2', 'value': 'Latin America & the Caribbean (IDA & IBRD countries)'}",14.6933682733684,2021
"{'id': 'XD', 'value': 'High income'}",14.4113036070439,2012
"{'id': 'EU', 'value': 'European Union'}",14.1488563287669,2010
"{'id': 'XU', 'value': 'North America'}",14.1449764442183,2010
"{'id': 'XD', 'value': 'High income'}",14.107249502064,2013
"{'id': 'XD', 'value': 'High income'}",14.0892328657727,2014
"{'id': 'XU', 'value': 'North America'}",13.9445171994172,2011
"{'id': 'EU', 'value': 'European Union'}",13.8894100308151,2011
"{'id': 'XD', 'value': 'High income'}",13.8575937048557,2015
"{'id': 'XU', 'value': 'North America'}",13.8435158328294,2012
"{'id': 'XD', 'value': 'High income'}",13.7375976127694,2016
"{'id': 'EU', 'value': 'European Union'}",13.6814324597654,2012
"{'id': 'XU', 'value': 'North America'}",13.6423186906115,2013
"{'id': 'XU', 'value': 'North America'}",13.6208272030531,2015
"{'id': 'XU', 'value': 'North America'}",13.5415146715701,2014
"{'id': 'XU', 'value': 'North America'}",13.5308289671099,2016
"{'id': 'EU', 'value': 'European Union'}",13.459199612947,2013
"{'id': 'XD', 'value': 'High income'}",13.4499623134457,2017
"{'id': 'XD', 'value': 'High income'}",13.35612032478,2018
"{'id': 'XU', 'value': 'North America'}",13.3088675099949,2017
"{'id': 'XU', 'value': 'North America'}",13.2723372968186,2021
"{'id': 'XU', 'value': 'North America'}",13.2158207148216,2020
"{'id': 'EU', 'value': 'European Union'}",13.1861659943041,2015
"{'id': 'EU', 'value': 'European Union'}",13.1361450545107,2014
"{'id': 'XU', 'value': 'North America'}",13.1070331606802,2018
"{'id': 'XD', 'value': 'High income'}",12.9996532634129,2019
"{'id': 'EU', 'value': 'European Union'}",12.9182984028039,2016
"{'id': 'XU', 'value': 'North America'}",12.8153195815189,2019
"{'id': 'XD', 'value': 'High income'}",12.8151921671499,2021
"{'id': 'XD', 'value': 'High income'}",12.7835012063319,2020
"{'id': 'EU', 'value': 'European Union'}",12.7496649239305,2017
"{'id': 'EU', 'value': 'European Union'}",12.6218469712824,2018
"{'id': 'XC', 'value': 'Euro area'}",12.3342004924871,2010
"{'id': 'EU', 'value': 'European Union'}",12.2600843683657,2019
"{'id': 'EU', 'value': 'European Union'}",12.1561273785197,2020
"{'id': 'XC', 'value': 'Euro area'}",12.1560331621455,2011
"{'id': 'EU', 'value': 'European Union'}",12.1153630619175,2021
"{'id': 'XC', 'value': 'Euro area'}",11.9363047236915,2012
"{'id': 'XC', 'value': 'Euro area'}",11.7697733353714,2013
"{'id': 'XC', 'value': 'Euro area'}",11.485993450286,2015
"{'id': 'XC', 'value': 'Euro area'}",11.4466515862634,2014
"{'id': 'XC', 'value': 'Euro area'}",11.2688098194716,2016
"{'id': 'XC', 'value': 'Euro area'}",11.1115435970205,2017
"{'id': 'XC', 'value': 'Euro area'}",10.9581983766198,2018
"{'id': 'XC', 'value': 'Euro area'}",10.6474664160071,2019
"{'id': 'XC', 'value': 'Euro area'}",10.5482432534786,2021
"{'id': 'XC', 'value': 'Euro area'}",10.4949060301653,2020
