Negara,Persentase Kematian NCD,Tahun
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",22.9517330462616,2013
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",22.9491292174365,2020
"{'id': 'XE', 'value': 'Heavily indebted poor countries (HIPC)'}",22.930639510078,2019
"{'id': 'XN', 'value': 'Lower middle income'}",22.9285361278222,2021
"{'id': 'XH', 'value': 'IDA blend'}",22.8553366503562,2019
"{'id': 'XG', 'value': 'IDA total'}",22.8430941975906,2016
"{'id': 'XN', 'value': 'Lower middle income'}",22.8369469165357,2016
"{'id': 'XN', 'value': 'Lower middle income'}",22.8194781772233,2015
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",22.809757372026,2020
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",22.7864426715155,2015
"{'id': 'XN', 'value': 'Lower middle income'}",22.7854702493887,2017
"{'id': 'XI', 'value': 'IDA only'}",22.7846830295507,2013
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",22.7799912759066,2014
"{'id': 'XN', 'value': 'Lower middle income'}",22.7596300764303,2020
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",22.7432900408121,2015
"{'id': 'XG', 'value': 'IDA total'}",22.7422837000239,2017
"{'id': 'XN', 'value': 'Lower middle income'}",22.737472664069,2013
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",22.7225237360997,2016
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",22.7190137757581,2018
"{'id': '1A', 'value': 'Arab World'}",22.6956322592647,2010
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",22.6929086562914,2016
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",22.6784058343722,2017
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",22.676032558209,2017
"{'id': 'XL', 'value': 'Least developed countries: UN classification'}",22.6647703848801,2019
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",22.6532117980648,2016
"{'id': 'XG', 'value': 'IDA total'}",22.6404021863629,2018
"{'id': 'XI', 'value': 'IDA only'}",22.631050881118,2014
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",22.6238844764939,2018
"{'id': 'T7', 'value': 'Europe & Central Asia (IDA & IBRD countries)'}",22.6163134509327,2018
"{'id': 'XG', 'value': 'IDA total'}",22.6084136465502,2020
"{'id': 'V2', 'value': 'Early-demographic dividend'}",22.5871297553123,2010
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.5791631456209,2012
"{'id': 'XI', 'value': 'IDA only'}",22.5587057183735,2015
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.541459201984,2020
"{'id': 'XN', 'value': 'Lower middle income'}",22.5313209401075,2014
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",22.5279862740354,2017
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",22.5038297694601,2019
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.4905527837396,2015
"{'id': 'XG', 'value': 'IDA total'}",22.4857397541253,2019
"{'id': 'V2', 'value': 'Early-demographic dividend'}",22.4739372182898,2011
"{'id': 'XI', 'value': 'IDA only'}",22.4567808257734,2016
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.4387537758658,2013
"{'id': 'XE', 'value': 'Heavily indebted poor countries (HIPC)'}",22.4362150185731,2021
"{'id': 'XI', 'value': 'IDA only'}",22.4248142804081,2017
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.4201125188432,2016
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.4107105058646,2014
"{'id': 'XI', 'value': 'IDA only'}",22.4055523563579,2018
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.3811164645277,2018
"{'id': 'V2', 'value': 'Early-demographic dividend'}",22.3690308767713,2012
"{'id': 'XH', 'value': 'IDA blend'}",22.3259249742492,2021
"{'id': 'XI', 'value': 'IDA only'}",22.3107338633535,2020
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.300512624368,2017
"{'id': 'XI', 'value': 'IDA only'}",22.3003795502032,2019
"{'id': '1A', 'value': 'Arab World'}",22.24092133369,2011
"{'id': 'ZH', 'value': 'Africa Eastern and Southern'}",22.1814939357203,2019
"{'id': 'F1', 'value': 'Fragile and conflict affected situations'}",22.1306392967672,2021
"{'id': 'V2', 'value': 'Early-demographic dividend'}",22.1188800254848,2018
"{'id': '7E', 'value': 'Europe & Central Asia (excluding high income)'}",22.1101927436556,2017
"{'id': 'S3', 'value': 'Caribbean small states'}",22.1053205339094,2010
"{'id': 'V2', 'value': 'Early-demographic dividend'}",22.0985559113195,2019
